#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=L: Das läuft jetzt schon, oder?
31-24	2131-2134	sie	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[61]	*[61]	*[61]	Statement[61]	
31-25	2135-2139	eine	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[61]	*[61]	*[61]	Statement[61]	
31-26	2140-2149	schlechte	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[61]	*[61]	*[61]	Statement[61]	
31-27	2150-2154	Note	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[61]	*[61]	*[61]	Statement[61]	
31-28	2155-2163	bekommen	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[61]	*[61]	*[61]	Statement[61]	
31-29	2163-2164	.	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[61]	*[61]	*[61]	Statement[61]	

#Text=L: Wie ist es denn, wenn er mit einer Note nach Hause kommt?
32-1	2165-2166	L	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	_	_	_	_	
32-2	2166-2167	:	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	_	_	_	_	
32-3	2168-2171	Wie	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-4	2172-2175	ist	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-5	2176-2178	es	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-6	2179-2183	denn	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-7	2183-2184	,	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-8	2185-2189	wenn	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-9	2190-2192	er	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-10	2193-2196	mit	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-11	2197-2202	einer	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-12	2203-2207	Note	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-13	2208-2212	nach	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-14	2213-2218	Hause	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-15	2219-2224	kommt	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	
32-16	2224-2225	?	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	*[62]	*[62]	*[62]	Klärende Frage[62]	

#Text=E: Er hat überhaupt keine Probleme.
33-1	2226-2227	E	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	_	_	_	_	
33-2	2227-2228	:	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	_	_	_	_	
33-3	2229-2231	Er	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	_	_	_	_	
33-4	2232-2235	hat	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	_	_	_	_	
33-5	2236-2245	überhaupt	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	_	_	_	_	
33-6	2246-2251	keine	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	_	_	_	_	
33-7	2252-2260	Probleme	*[15]	*[15]	*[15]	*[15]	Informationsphase[15]	*[15]	*[15]	_	_	_	_	
33-8	2260-2261	.	_	_	_	_	_	_	_	_	_	_	_	

#Text=E: Also natürlich schämt er sich ein bisschen für die Note, was ich auch verstehen kann, weil er, wie gesagt, ja zu Hause alles kann, alles gut läuft.
34-1	2262-2263	E	_	_	_	_	_	_	_	_	_	_	_	
34-2	2263-2264	:	_	_	_	_	_	_	_	_	_	_	_	
34-3	2265-2269	Also	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-4	2270-2279	natürlich	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-5	2280-2286	schämt	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-6	2287-2289	er	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-7	2290-2294	sich	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-8	2295-2298	ein	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-9	2299-2307	bisschen	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-10	2308-2311	für	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-11	2312-2315	die	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-12	2316-2320	Note	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-13	2320-2321	,	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-14	2322-2325	was	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-15	2326-2329	ich	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-16	2330-2334	auch	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-17	2335-2344	verstehen	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-18	2345-2349	kann	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-19	2349-2350	,	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-20	2351-2355	weil	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-21	2356-2358	er	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-22	2358-2359	,	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-23	2360-2363	wie	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-24	2364-2370	gesagt	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-25	2370-2371	,	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-26	2372-2374	ja	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-27	2375-2377	zu	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-28	2378-2383	Hause	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-29	2384-2389	alles	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-30	2390-2394	kann	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-31	2394-2395	,	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-32	2396-2401	alles	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-33	2402-2405	gut	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-34	2406-2411	läuft	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	
34-35	2411-2412	.	*[16]	*[16]	*[16]	*[16]	Informationsphase[16]	*[16]	*[16]	_	_	_	_	

#Text=L (glz.): Hm.
35-1	2413-2414	L	_	_	_	_	_	_	_	_	_	_	_	
35-2	2415-2416	(	_	_	_	_	_	_	_	_	_	_	_	
35-3	2416-2419	glz	*[17]	*[17]	*[17]	*[17]	Informationsphase[17]	*[17]	*[17]	_	_	_	_	
35-4	2419-2420	.	*[17]	*[17]	*[17]	*[17]	Informationsphase[17]	*[17]	*[17]	_	_	_	_	
35-5	2420-2421	)	*[17]	*[17]	*[17]	*[17]	Informationsphase[17]	*[17]	*[17]	_	_	_	_	
35-6	2421-2422	:	*[17]	*[17]	*[17]	*[17]	Informationsphase[17]	*[17]	*[17]	_	_	_	_	
35-7	2423-2425	Hm	*[17]	*[17]	*[17]	*[17]	Informationsphase[17]	*[17]	*[17]	*[63]	*[63]	*[63]	Nicht-festgelegte Aufmerksamkeitsreaktion[63]	
35-8	2425-2426	.	*[17]	*[17]	*[17]	*[17]	Informationsphase[17]	*[17]	*[17]	*[63]	*[63]	*[63]	Nicht-festgelegte Aufmerksamkeitsreaktion[63]	

#Text=E: Und ja, also ich denke, ich kann ihn da auch einfach ein bisschen besser einschätzen.
36-1	2427-2428	E	_	_	_	_	_	_	_	_	_	_	_	
36-2	2428-2429	:	_	_	_	_	_	_	_	_	_	_	_	
36-3	2430-2433	Und	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-4	2434-2436	ja	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-5	2436-2437	,	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-6	2438-2442	also	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-7	2443-2446	ich	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-8	2447-2452	denke	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-9	2452-2453	,	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-10	2454-2457	ich	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-11	2458-2462	kann	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-12	2463-2466	ihn	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-13	2467-2469	da	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-14	2470-2474	auch	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-15	2475-2482	einfach	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-16	2483-2486	ein	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-17	2487-2495	bisschen	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-18	2496-2502	besser	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-19	2503-2514	einschätzen	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	
36-20	2514-2515	.	*[18]	*[18]	Argumentationsphase[18]	*[18]	*[18]	*[18]	*[18]	_	_	_	_	

#Text=E: Er ist mein Sohn und ich weiß ja, wie er zu Hause reagiert und ohne ihn jetzt zu nahe treten zu wollen, aber sie sind doch auch noch eine sehr junge Lehrkraft.
37-1	2516-2517	E	_	_	_	_	_	_	_	_	_	_	_	
37-2	2517-2518	:	_	_	_	_	_	_	_	_	_	_	_	
37-3	2519-2521	Er	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-4	2522-2525	ist	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-5	2526-2530	mein	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-6	2531-2535	Sohn	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-7	2536-2539	und	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-8	2540-2543	ich	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-9	2544-2548	weiß	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-10	2549-2551	ja	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-11	2551-2552	,	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-12	2553-2556	wie	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-13	2557-2559	er	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-14	2560-2562	zu	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-15	2563-2568	Hause	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-16	2569-2577	reagiert	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-17	2578-2581	und	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-18	2582-2586	ohne	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-19	2587-2590	ihn	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-20	2591-2596	jetzt	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-21	2597-2599	zu	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-22	2600-2604	nahe	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-23	2605-2611	treten	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-24	2612-2614	zu	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-25	2615-2621	wollen	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-26	2621-2622	,	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-27	2623-2627	aber	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-28	2628-2631	sie	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-29	2632-2636	sind	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-30	2637-2641	doch	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-31	2642-2646	auch	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-32	2647-2651	noch	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-33	2652-2656	eine	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-34	2657-2661	sehr	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-35	2662-2667	junge	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-36	2668-2677	Lehrkraft	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	
37-37	2677-2678	.	*[19]	*[19]	Argumentationsphase[19]	*[19]	*[19]	*[19]	*[19]	_	_	_	_	

#Text=E: Ich weiß nicht, ob sie da wirklich schon genug Erfahrung haben, um einzuschätzen, wie mein Kind reagiert.
38-1	2679-2680	E	_	_	_	_	_	_	_	_	_	_	_	
38-2	2680-2681	:	_	_	_	_	_	_	_	_	_	_	_	
38-3	2682-2685	Ich	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-4	2686-2690	weiß	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-5	2691-2696	nicht	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-6	2696-2697	,	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-7	2698-2700	ob	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-8	2701-2704	sie	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-9	2705-2707	da	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-10	2708-2716	wirklich	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-11	2717-2722	schon	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-12	2723-2728	genug	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-13	2729-2738	Erfahrung	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-14	2739-2744	haben	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-15	2744-2745	,	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-16	2746-2748	um	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-17	2749-2762	einzuschätzen	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-18	2762-2763	,	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-19	2764-2767	wie	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-20	2768-2772	mein	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-21	2773-2777	Kind	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-22	2778-2786	reagiert	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	
38-23	2786-2787	.	*[20]	*[20]	Argumentationsphase[20]	*[20]	*[20]	*[20]	*[20]	_	_	_	_	

#Text=L: Okay, Frau Grün.
39-1	2788-2789	L	_	_	_	_	_	_	_	_	_	_	_	
39-2	2789-2790	:	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	_	_	_	_	
39-3	2791-2795	Okay	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[64]	*[64]	Strukturieren[64]	Nicht-festgelegte Aufmerksamkeitsreaktion[64]	
39-4	2795-2796	,	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[64]	*[64]	Strukturieren[64]	Nicht-festgelegte Aufmerksamkeitsreaktion[64]	
39-5	2797-2801	Frau	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[64]	*[64]	Strukturieren[64]	Nicht-festgelegte Aufmerksamkeitsreaktion[64]	
39-6	2802-2806	Grün	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[64]	*[64]	Strukturieren[64]	Nicht-festgelegte Aufmerksamkeitsreaktion[64]	
39-7	2806-2807	.	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[64]	*[64]	Strukturieren[64]	Nicht-festgelegte Aufmerksamkeitsreaktion[64]	

#Text=L: Und also meine Frage war, wenn jetzt der Milan mit einer Note nach Hause kommt und das ist eben... Genau.
40-1	2808-2809	L	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	_	_	_	_	
40-2	2809-2810	:	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	_	_	_	_	
40-3	2811-2814	Und	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-4	2815-2819	also	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-5	2820-2825	meine	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-6	2826-2831	Frage	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-7	2832-2835	war	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-8	2835-2836	,	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-9	2837-2841	wenn	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-10	2842-2847	jetzt	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-11	2848-2851	der	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-12	2852-2857	Milan	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-13	2858-2861	mit	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-14	2862-2867	einer	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-15	2868-2872	Note	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-16	2873-2877	nach	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-17	2878-2883	Hause	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-18	2884-2889	kommt	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-19	2890-2893	und	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-20	2894-2897	das	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-21	2898-2901	ist	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-22	2902-2906	eben	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-23	2906-2907	.	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-24	2907-2908	.	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-25	2908-2909	.	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-26	2910-2915	Genau	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	
40-27	2915-2916	.	*[21]	*[21]	Argumentationsphase[21]	*[21]	*[21]	*[21]	*[21]	*[65]	*[65]	Strukturieren[65]	*[65]	

#Text=E: Ja, ja, natürlich.
41-1	2917-2918	E	_	_	_	_	_	_	_	_	_	_	_	
41-2	2918-2919	:	_	_	_	_	_	_	_	_	_	_	_	
41-3	2920-2922	Ja	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
41-4	2922-2923	,	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
41-5	2924-2926	ja	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
41-6	2926-2927	,	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
41-7	2928-2937	natürlich	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
41-8	2937-2938	.	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	

#Text=L (glz.): Und sprechen Sie dann mit ihm über die Note?
42-1	2939-2940	L	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
42-2	2941-2942	(	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
42-3	2942-2945	glz	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
42-4	2945-2946	.	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
42-5	2946-2947	)	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
42-6	2947-2948	:	*[22]	*[22]	*[22]	*[22]	Informationsphase[22]	*[22]	*[22]	_	_	_	_	
